Fecha 	Turno
42005	Turno B
42006	Turno B
42007	Turno B
42008	Turno A
42009	Turno A
42010	Turno A
42011	Turno A
42012	Turno B
42013	Turno B
42014	Turno B
42015	Turno B
42016	Turno A
42017	Turno A
42018	Turno A
42019	Turno A
42020	Turno B
42021	Turno B
42022	Turno B
42023	Turno B
42024	Turno A
42025	Turno A
42026	Turno A
42027	Turno A
42028	Turno B
42029	Turno B
42030	Turno B
42031	Turno B
42032	Turno A
42033	Turno A
42034	Turno A
42035	Turno A
42036	Turno B
42037	Turno B
42038	Turno B
42039	Turno B
42040	Turno A
42041	Turno A
42042	Turno A
42043	Turno A
42044	Turno B
42045	Turno B
42046	Turno B
42047	Turno B
42048	Turno A
42049	Turno A
42050	Turno A
42051	Turno A
42052	Turno B
42053	Turno B
42054	Turno B
42055	Turno B
42056	Turno A
42057	Turno A
42058	Turno A
42059	Turno A
42060	Turno B
42061	Turno B
42062	Turno B
42063	Turno B
42064	Turno A
42065	Turno A
42066	Turno A
42067	Turno A
42068	Turno B
42069	Turno B
42070	Turno B
42071	Turno B
42072	Turno A
42073	Turno A
42074	Turno A
42075	Turno A
42076	Turno B
42077	Turno B
42078	Turno B
42079	Turno B
42080	Turno A
42081	Turno A
42082	Turno A
42083	Turno A
42084	Turno B
42085	Turno B
42086	Turno B
42087	Turno B
42088	Turno A
42089	Turno A
42090	Turno A
42091	Turno A
42092	Turno B
42093	Turno B
42094	Turno B
42095	Turno B
42096	Turno A
42097	Turno A
42098	Turno A
42099	Turno A
42100	Turno B
42101	Turno B
42102	Turno B
42103	Turno B
42104	Turno A
42105	Turno A
42106	Turno A
42107	Turno A
42108	Turno B
42109	Turno B
42110	Turno B
42111	Turno B
42112	Turno A
42113	Turno A
42114	Turno A
42115	Turno A
42116	Turno B
42117	Turno B
42118	Turno B
42119	Turno B
42120	Turno A
42121	Turno A
42122	Turno A
42123	Turno A
42124	Turno B
42125	Turno B
42126	Turno B
42127	Turno B
42128	Turno A
42129	Turno A
42130	Turno A
42131	Turno A
